phrase_AB,phrase_BA,freq_AB,freq_BA,overall_freq,rel_freq,word1_freq,word2_freq
force and violence,violence and force,52791,10712,63503,0.8313150559816072,150076565,70696520
eggs and ham,ham and eggs,56641,29969,86610,0.6539776007389447,47778813,42759298
bone and muscle,muscle and bone,120203,150788,270991,0.44356823658350275,48719276,64610438
debate and discussion,discussion and debate,144772,232746,377518,0.3834837014394016,55127560,102052699
errors and omissions,omissions and errors,250594,9052,259646,0.9651371482711076,62404924,2234197
brother and mother,mother and brother,46039,184650,230689,0.1995717177672104,88764640,172769028
face and figure,figure and face,24885,4414,29299,0.8493463940748831,294547561,138119435
chairs and table,table and chairs,44787,737906,782693,0.05722166928795837,23685071,278320640
ammunition and guns,guns and ammunition,4145,99816,103961,0.03987072075105087,6889575,30148760
concord and lexington,lexington and concord,84,2029,2113,0.03975390440132513,2324641,135699
ice and water,water and ice,144531,177896,322427,0.4482596060503618,97589244,624668189
fun and games,games and fun,665682,57274,722956,0.9207780279851056,413913520,365820653
breakfast and dinner,dinner and breakfast,307770,97157,404927,0.7600629249222699,58547846,81547415
comfort and ease,ease and comfort,341551,320610,662161,0.5158126195894956,94554288,55545827
father and uncle,uncle and father,114730,13176,127906,0.8969868497177614,145099569,13707292
health and spirits,spirits and health,23583,3046,26629,0.8856134289684179,731902197,17320909
names and numbers,numbers and names,136752,38829,175581,0.7788542040425787,119322130,161240186
rights and wrongs,wrongs and rights,108004,5298,113302,0.9532400134154737,165371558,1958153
crannies and nooks,nooks and crannies,2758,659546,662304,0.004164250857612214,778653,1174459
power and resources,resources and power,96651,38069,134720,0.7174213182897862,498897230,187237944
flame and smoke,smoke and flame,18771,20668,39439,0.4759502015771191,14039886,39727468
faith and life,life and faith,70218,69440,139658,0.5027853757035042,85784659,913377829
wisdom and wit,wit and wisdom,12962,91755,104717,0.12378123895833533,31190939,8594799
novelist and poet,poet and novelist,39183,58487,97670,0.4011774342172622,3948724,16032063
arizona and california,california and arizona,556,950,1506,0.3691899070385126,1060731,3671436
crops and livestock,livestock and crops,110555,24469,135024,0.8187803649721531,20599712,10153523
glass and steel,steel and glass,128042,139143,267185,0.47922600445384284,124014263,68410757
bar and grill,grill and bar,145790,10271,156061,0.9341859913751674,288324614,14947184
influence and prestige,prestige and influence,8236,13328,21564,0.38193285104804303,101355240,4780595
cotton and tobacco,tobacco and cotton,15143,10007,25150,0.6021073558648111,24941475,18193110
church and community,community and church,154309,40281,194590,0.7929955290611028,118718945,404711288
courage and hope,hope and courage,46191,53856,100047,0.46169300428798465,26289645,286222563
teaching and writing,writing and teaching,61559,62006,123565,0.4981912353821875,106565096,284741749
example and precept,precept and example,2396,10920,13316,0.1799339140883148,448126191,2131098
gin and tonic,tonic and gin,241025,1411,242436,0.9941799072744972,5721483,3169237
brush and trees,trees and brush,25665,54291,79956,0.3209890439741858,40098961,84583083
pad and pencil,pencil and pad,20413,5910,26323,0.7754815180640504,22429045,11412480
chair and table,table and chair,41626,149592,191218,0.21768871131378845,55733841,278320640
houses and shops,shops and houses,51983,29116,81099,0.6409820096425357,62489621,44756291
libraries and museums,museums and libraries,53062,47760,100822,0.5262938644343497,25609267,13673914
flames and smoke,smoke and flames,49895,80577,130472,0.3824192163835919,9358904,39727468
guidance and information,information and guidance,79937,276562,356499,0.2242278379462495,58361778,804530518
stress and tension,tension and stress,217869,136913,354782,0.6140925977078883,146503861,30606782
days and years,years and days,72542,10319,82861,0.8754661420933854,555777321,1299258845
actions and feelings,feelings and actions,25073,74818,99891,0.2510035939173699,112403159,64899588
energy and money,money and energy,300046,232718,532764,0.5631874526056565,328804182,519542594
anguish and pain,pain and anguish,21294,100104,121398,0.17540651411061137,2860632,228969348
colors and forms,forms and colors,29472,32811,62283,0.4731949328067049,84840562,112469898
meaning and origin,origin and meaning,27495,42388,69883,0.3934433267032039,155936634,69678350
freedom and security,security and freedom,65266,43951,109217,0.5975809626706465,71582143,230579211
gratitude and joy,joy and gratitude,40648,86459,127107,0.3197935597567404,14819729,63016276
mamma and papa,papa and mamma,1644,4456,6100,0.2695081967213115,468744,1090094
length and weight,weight and length,79484,67114,146598,0.5421902072333865,147863853,255083071
anger and hatred,hatred and anger,90227,38491,128718,0.7009664537982255,31130669,10388612
aircraft and ships,ships and aircraft,26299,67524,93823,0.2803044029715528,43781922,30532567
sidewalks and streets,streets and sidewalks,33221,107885,141106,0.23543293694102307,3901806,48382290
democracy and liberty,liberty and democracy,12973,27268,40241,0.3223826445664869,26608505,11538291
iron and wood,wood and iron,22759,34070,56829,0.4004821481989829,58773828,99059143
horses and wagons,wagons and horses,13962,4776,18738,0.7451168747998719,31071541,2485531
clarity and precision,precision and clarity,52325,24259,76584,0.6832367074062468,21472415,25661063
flowers and herbs,herbs and flowers,75665,92299,167964,0.4504834369269605,58361334,18731787
confusion and fear,fear and confusion,50391,76933,127324,0.39576984700449247,25796182,133949701
jaws and teeth,teeth and jaws,25281,48586,73867,0.34225026060351715,3148672,54313430
counties and towns,towns and counties,19997,34690,54687,0.3656627717739134,17286206,26066378
bodies and faces,faces and bodies,21857,59843,81700,0.26752753977968174,59804982,48621461
ability and desire,desire and ability,60884,58697,119581,0.5091444292989689,215259747,75486017
chest and stomach,stomach and chest,63795,30211,94006,0.6786268961555645,42080091,35236242
illinois and missouri,missouri and illinois,349,488,837,0.4169653524492234,1017985,574588
jams and jellies,jellies and jams,98496,17637,116133,0.8481310221900752,3846668,714932
tories and whigs,whigs and tories,66,409,475,0.13894736842105262,173096,25791
dogs and men,men and dogs,6476,9833,16309,0.397081366116868,80163790,314631599
discussion and thought,thought and discussion,11927,49643,61570,0.1937144713334416,102052699,400024534
distress and pain,pain and distress,17825,77222,95047,0.1875387965953686,21169631,228969348
mouth and nostrils,nostrils and mouth,13050,9172,22222,0.5872558725587256,76367483,1749650
cakes and pies,pies and cakes,46288,31753,78041,0.5931241270614165,12739338,5001914
adventure and romance,romance and adventure,27744,31308,59052,0.4698232066653119,47521128,23218318
agreements and contracts,contracts and agreements,42116,81482,123598,0.3407498503212026,26058158,39111717
crime and poverty,poverty and crime,37728,50211,87939,0.4290246648244806,66321457,33270801
cousins and uncles,uncles and cousins,10992,126678,137670,0.07984310307256483,8222363,2487059
fire and light,light and fire,42567,18831,61398,0.6932961985732434,216329156,454245346
child and husband,husband and child,7683,46821,54504,0.140962131219727,336525620,120164125
vinegar and water,water and vinegar,214608,108625,323233,0.6639421098712075,15472794,624668189
fork and spoon,spoon and fork,45377,31392,76769,0.5910849431411116,14715597,12672039
burma and india,india and burma,106,301,407,0.26044226044226043,82334,7291143
fruit and nuts,nuts and fruit,139646,33857,173503,0.8048621637666208,76441282,23803709
ability and strength,strength and ability,20291,85219,105510,0.19231352478438063,215259747,187181754
agencies and individuals,individuals and agencies,42204,22494,64698,0.6523231011777798,58934074,174254216
c. and d.,d. and c.,1218,37,1255,0.9705179282868526,25025990,14512656
coffee and sandwiches,sandwiches and coffee,16339,15770,32109,0.5088604441122426,108627088,9634437
coffee and toast,toast and coffee,20768,22039,42807,0.4851542971943841,108627088,12951299
artillery and mortar,mortar and artillery,20488,10221,30709,0.667165977400762,5335742,6821044
anger and anxiety,anxiety and anger,37803,39649,77452,0.4880829416929195,31130669,60066582
apprehension and fear,fear and apprehension,10705,28695,39400,0.2717005076142132,2256836,133949701
figures and words,words and figures,3423,13092,16515,0.2072661217075386,61628107,257534396
blood and guts,guts and blood,128203,4506,132709,0.9660460104439036,226453583,5346164
action and character,character and action,15442,9647,25089,0.6154888596596118,280016406,241371541
diamonds and rubies,rubies and diamonds,15702,11488,27190,0.5774917248988599,10451986,713374
plans and projects,projects and plans,75155,36992,112147,0.6701472174913283,171211203,190084076
jacket and trousers,trousers and jacket,37810,7064,44874,0.8425814502830147,21039189,5220901
kind and quantity,quantity and kind,9717,6599,16316,0.5955503799950969,415094128,38778887
family and neighborhood,neighborhood and family,17913,4695,22608,0.7923301486199575,612899365,64688520
nights and weekends,weekends and nights,274062,16295,290357,0.943879431182992,37593207,17848167
labor and money,money and labor,11390,16890,28280,0.40275813295615276,98052975,519542594
shower and tub,tub and shower,43876,98856,142732,0.30740128352436735,36675477,43304971
aggression and hostility,hostility and aggression,7842,9446,17288,0.4536094400740398,8995445,3957195
information and material,material and information,53467,156748,210215,0.2543443617249007,804530518,202000822
despair and rage,rage and despair,4816,15501,20317,0.23704287050253484,9338243,12210763
improvements and land,land and improvements,3251,14157,17408,0.18675321691176472,43479450,274048818
landings and takeoffs,takeoffs and landings,11917,61538,73455,0.1622353822067933,2006261,202138
novels and tales,tales and novels,2723,2386,5109,0.5329810138970444,19646982,13466564
corruption and crime,crime and corruption,24853,98525,123378,0.20143785764074632,23255388,66321457
anthropology and psychology,psychology and anthropology,8353,11505,19858,0.42063651928693724,3738875,22956508
lecturer and writer,writer and lecturer,10069,23622,33691,0.298863197886676,5561441,78877856
curettage and dilatation,dilatation and curettage,21,12330,12351,0.0017002671848433326,209028,927554
fog and mist,mist and fog,25062,33688,58750,0.42658723404255317,14742598,18434539
field and stream,stream and field,5500,526,6026,0.9127115831397279,320526115,86976129
dates and events,events and dates,55656,20452,76108,0.7312766069269985,52941040,247697450
belly and chest,chest and belly,14151,33791,47942,0.2951691627383088,16127123,42080091
power and scope,scope and power,13132,16138,29270,0.448650495387769,498897230,52499986
counterpoint and harmony,harmony and counterpoint,2515,12736,15251,0.16490721919874107,1345942,14005457
pain and shame,shame and pain,25376,13390,38766,0.6545942320590208,228969348,29068373
doorways and windows,windows and doorways,29862,41230,71092,0.4200472627018511,1862753,74108006
history and identity,identity and history,50328,26711,77039,0.6532795077817729,303011425,75964391
anger and indignation,indignation and anger,12769,5030,17799,0.7173998539243778,31130669,1428018
cream and peaches,peaches and cream,1228,58597,59825,0.020526535729210198,69973619,3098711
classmates and friends,friends and classmates,61126,122265,183391,0.3333097044020699,7453513,311927908
movements and positions,positions and movements,13344,19213,32557,0.40986577387351414,36894558,70260914
barrels and boxes,boxes and barrels,3788,5236,9024,0.41976950354609927,9090050,45237558
costumes and masks,masks and costumes,24252,26224,50476,0.48046596402250574,10901585,22771891
attractions and repulsions,repulsions and attractions,4339,398,4737,0.9159805784251636,20243915,53134
